extracted_triple	utterance-1	utterance	utterance+1
('Monica', 'has-parents', 'Phoebe')	['Rachel', ' Well what happened at dinner?']	['Monica', ' My parents spent the money for our wedding!']	['Phoebe', ' My God! What did you order?!']
('Chandler', 'has-dad', 'Janice')	['Janice', ' Okay.']	['Chandler', " I think you should go back with Gary. I don’t wanna be the guy that breaks up a family, y'know when my parents split up, it was because of that guy. Whenever I would see him I was always think y'know ‘You’re the reason, you are the reason why their not together.’ and I hated that guy. And it didn’t matter how nice he was, or how happy he made my Dad."]	['Janice', ' Wow!']
('Chandler', 'has-parents', 'Phoebe')	['Phoebe', " Whoa!! He is soo unreasonable! God, although I think I understand what he means. Oh my God, this is like 60 Minutes, okay, when, when, at first you’re really mad at that pharmaceutical company for making the drug and then y'know you just feel bad for the people because they needed to make their hair grow."]	['Chandler', " Y'know what this is like? This is like when my parents got divorced. Man, I hope Ross doesn’t try to kidnap me after Cub Scouts."]	['Phoebe', " Y'know I had a dream where Ross and Rachel were still together, they never broke up. And we were all just like hanging out, and everyone was happy...."]
('Chandler', 'has-parents', 'Monica')	['Monica', ' Chandler, look I-I know that your dad embarrassed you. I know…']	['Chandler', ' No-no all kids are embarrassed by their parents, you’d have to come up with a whole new word for what I went through. When I was in High School, he used to come to all of my swim meets dressed as a different Hollywood starlet. Y’know it’s hard enough to be fourteen. You’re skinny. You’re wearing speedoes—That your mom promised that you would grow into! And you look up into the stands and there’s your dad cheering you on dressed as Carmen Miranda. We was wearing a headdress with real fruit that he will later hand out to your friends as a healthy snack!']	['Monica', ' Hey, the point is that he was at everyone of your swim meets and he was there cheering you on! Okay? That’s a, that’s a pretty great dad.']
('Phoebe', 'has-dad', 'All')	['Rachel', ' That is so cool.']	['Phoebe', ' I know! So this woman probably could like have all kinds of stories about my parents, and she might even know like where my Dad is. So I looked her up, and she lives out by the beach. So maybe this weekend we could go to the beach?']	['All', ' Yeah! Yeah, we can!']
('Phoebe', 'has-parents', 'Ross')	['Joey', ' Woo-hoo! All right! Yeah!']	['Phoebe', ' Oh, I am having the best karma this week. First, I find this woman who knew my parents, and then my client with the fuzzy back gives me his beach house.']	['Ross', ' Yeah? What about ah, that bike messenger you hit?']
('Phoebe', 'has-parents', 'Phoebe Sr')	['Phoebe Sr', ' Oh no, I-I’m sorry, I guess we lost track of everybody after high school.']	['Phoebe', ' Oh, okay. Well, so tell me everything about my parents. Everything.']	['Phoebe Sr', " Ohh, well. Y'know we were always together, in fact the had a nickname for the three of us."]
('Monica', 'has-parents', 'Ross')	['Ross', ' Monica knows.']	['Monica', " It's this dumb thing that Ross made up `cause he was trying to fool our parents. It's a way of giving the finger, without actually having to give it. I remember I cried the night you made it up, `cause it was the first time that I realized that I was actually cooler than my older brother."]	['Ross', " Well, I'm gonna go get ready, for my date tonight, so ah, I'll just_ head."]
('Joshua', 'has-parents', 'Rachel')	['Rachel', ' Whoa-whoa, there’s two living rooms? God, growing up here, this place must’ve been a real babe magnet.']	['Joshua', ' Yeah, well, it would’ve been, but uh, my parents just moved here.']	['Rachel', ' Ohh, you should know, this place is a real babe magnet. Wanna make out?']
('Emily', 'has-parents', 'Ross')	['Ross', ' Yeah, I know, so what? I mean, who’s-who’s to say? Does that me we-we can’t do it? Look, huh, I was with Carol for four years before we got married and I wound up divorced from a pregnant lesbian. I mean, this, this makes sense for us. Come on! I mean, on our first date we ended up spending the whole weekend in Vermont! I mean, last night I got my ear pierced! Me! This feels right. Doesn’t it?']	['Emily', ' My parents are going to be really mad.']	['Ross', ' Is that—are you saying yes? Is that yes?']
('Big Nosed Rachel', 'has-parents', 'Fat Monica')	['Fat Monica', ' Oh, why? Why? What happened?']	['Big Nosed Rachel', ' Well, you know that my parents are out of town and Chip was going to come over…']	['Fat Monica', " Yeah, yeah, and you were going him y'know, your flower."]
('Ross', 'has-parents', 'Chandler')	['Chandler', ' You do? Why?']	['Ross', ' Okay, remember, we were young. Hey, Spring break, sophomore year, I got high in my bedroom and my parents walked in and smelled it and so I told them that you had gotten stoned and jumped out the window.']	['Chandler', ' What?! Why did you do that?']
('Ross', 'has-parents', 'Joey')	['Joey', ' Hey! Where have you been?']	['Ross', ' Oh, taking my parents back to the hotel.']	['Joey', ' Oh.']
('Joey', 'has-parents', 'Rachel')	['Joey', ' What the?!']	['Joey', ' Any one of the brilliant actresses nominated for this award tonight deserves to take it home. Unfortunately only one can. The nominees for Best Supporting Actress are from Passions Erin Goff. From One Life to Live Mary Loren Bishop, from All My Children Sarah Mchann, and from Days of Our Lives Jessica Ashley. And the winner is……Jessica Ashley from Days of Our Lives. Uh, unfortunately Jessica couldn’t be with us tonight so I’ll be accepting this award on her behalf. And I’m sure that Jessica would like to thank my parents who always believed in me. She’d also like to thank my friends, Chandler, Monica, Ross, Phoebe, and Rachel who’s sittin’ right there!']	['Rachel', ' Joey! Why did we have to rush out of there so fast?!']
('Paul', 'has-parents', 'Rachel')	['Rachel', ' Hm-mmm.']	['Paul', ' I wanted a big wheel. And instead my parents got me this little plastic chicken that you hop around on. It was embarrassing; kids made fun of me. That was a pretty tough year.']	['Rachel', ' That’s-that’s great! See? I already feel like I know you a little better! Thank you. Okay, come on. Now we can go eat. Let’s go.']
('Chandler', 'has-parents', 'Richard')	['{Transcriber’s Note', ' For further reading on the above story, please check out The One Where Joey Moves Out.}']	['Chandler', ' I got a good one, I got a good one! I once walked in on both my parents making love to the same guy.']	['Richard', ' It’s so great seeing you guys again. I’d like to make a toast. Uh, as a poet once said, "In the sweetness of friendship, let there be laughter and sharing of pleasures for in the due of little things the heart finds it’s morning and is refreshed."']
('Monica', 'has-parents', 'Rachel')	['Phoebe', ' Oh, I’m sorry. I’m so rude. Does anyone want to come to the movies?']	['Monica', ' All right, so I haven’t cleared the budget with my parents yet, but tell me how this is for music.']	['Rachel', ' Okay.']
('Phoebe', 'has-parents', 'The Teacher')	['The Teacher', ' Are you one of Ben’s mothers?']	['Phoebe', ' I am one of Ben’s mothers. I’m a lesbian. It was, it was difficult coming out to my parents.']	['The Teacher', ' Well hi, I’m Jenny Boone. I’m the new teacher here.']
('Monica', 'has-parents', 'Joey')	['Joey', ' Hey!']	['Monica', ' You got a present for my parents. That’s so sweet.']	['Joey', ' Yeah, yeah, in honor of their 35th wedding anniversary, I had a star named after them. ']
